startX	startY	endX	endY	Text
686	0	811	11	VVTV
855	0	953	16	中乐
1747	0	2178	49	
2727	0	3000	27	平来于北京中器乘大学
3016	0	3234	27	近30年国床理购、
3244	0	3304	27	拉长
3685	0	3974	38	于江中器数大学
3985	0	4230	43	终事国床）教果1科研
828	8	1143	94	uoud
425	11	566	76	8821
572	11	686	81	666
4595	11	4845	49	于河北中器学院
4856	5	5112	49	工作于河北省中器院
686	16	827	81	0080
2956	22	3076	65	速助摄伤、
3087	22	3310	65	内科糖症及皮腐病
5117	16	5177	49	（河北
2722	27	2940	65	速用针灸治球痛症
3691	32	3860	76	工作三十余年，
3876	43	4110	81	普治各检娜庄科快府。
4115	38	4230	81	各種疼痛
4595	49	4823	81	中器学院教学器院）
4861	49	5172	87	在国内外行三十会年
2902	60	3059	103	兑各科疾病。
3065	60	3179	103	参央编著
2727	65	2793	103	等内、
3179	60	3310	103	（针灸使用
2804	70	2842	103	外、
2858	70	2891	98	绿
3685	70	3865	114	症及凭触雄症。
3871	70	4061	114	尤其封先北流庄
4066	76	4208	119	召慎性资座、
5095	76	5177	125	皮腐科
4595	87	4823	119	果费富的输床经购
4834	87	5008	119	拉長治疲内科，
5019	87	5084	119	绿科
2727	103	2847	141	随床大全）
0	108	125	152	特京有
2880	103	3234	141	品
523	119	670	152	中做社酒馆
855	119	920	157	长拿
936	119	1078	162	华事管场
3696	112	4230	158	
1160	125	1290	168	张吉团
4595	119	4845	157	疾病及各福博储疾病，
4856	125	4976	157	国温病等。
29	136	419	244	
2727	141	2847	179	轮所地址：
2858	146	2891	173	26
2891	146	3087	179	LepoSe
3691	152	3734	184	康
523	157	680	190	泰技园城
3745	152	3930	190	具有写到的見解。
915	162	1078	211	厚水滨农区
4595	157	4927	195	
1160	173	1290	217	换华标料
2727	184	2820	211	London
2825	184	2961	211	EC2M7PD
3691	190	3805	228	彭所地址：
3816	195	4012	222	36Cerdstee
4012	195	4105	222	London
4099	195	4213	228	WID5QA
4589	200	4687	228	London
4682	200	4807	233	WIDSQA
942	217	1078	260	安上部租
1160	222	1301	265	创甘事
2727	217	2847	249	蓄所電話：
2858	222	3016	249	02076236888
3691	228	3811	265	聊系電站：
3822	233	3974	260	02072870805
4589	233	4665	265	批话：
245	244	408	282	心长
4660	238	4823	265	02072870805
947	260	1078	309	塑管保务
44	271	212	303	中安身印Y
207	276	414	320	依原生律合公
1198	276	1285	314	德解目
125	314	174	330	GN7
180	309	299	352	意上旺创
365	320	414	352	6
942	314	1072	358	火为超区
1198	325	1301	363	健出号
2744	341	3234	412	【崔服琴用主任器】
224	343	409	442	1市
1829	345	2106	428	旅名
240	347	321	385	四4m
3724	341	4066	417	陕红主治臀饰】
4589	347	4742	417	【沈杰
3702	352	3718	401	
4742	347	4899	417	博士】
947	358	1072	401	四海中国
1192	363	1296	412	招园鲜
54	379	191	406	招鞋理旅局
142	410	337	456	的道
947	406	1089	455	超书管场
1193	415	1294	464	媒限区
1824	410	2106	490	公修
365	422	414	455	厂锅
2744	439	3043	482	黑干北京中器菜大学
3054	439	3299	488	行餐二十绘年，拉
3691	439	3892	488	行餐二十绘年，
3898	439	4028	482	经验壹富、
4034	439	4219	488	拉具治藏内科、
4595	444	4774	477	出身中需世家，
71	450	414	563	出
136	450	229	482	生商管
4774	444	5155	482	大
947	455	1089	504	创型女所
1187	460	1285	509	螺护水
4589	471	4845	515	科大学管学上学位。
2744	482	2967	525	長治痘慢性胃炎、
2972	482	3108	525	颐痛丽量、
3119	482	3299	525	失眼多营、泌
3778	482	4012	531	皮腐科及各频痛城
4850	477	5155	520	五十价年，
136	488	348	520	一家贸体屋
3702	488	3778	525	锦科、
953	509	1083	547	联服
1187	509	1285	552	鲜球道
4595	520	4731	552	餐近30年、
4742	520	5014	552	且您内功准拿正件，
2744	525	3114	569	收管
3114	525	3293	569	開節炎、混疹、
5014	520	5155	558	拉治康椎病，
3696	531	3773	569	地址：
3783	531	4017	563	4ay
4077	531	4181	563	London
4017	536	4072	563	Ave.
4175	531	4241	563	WID
942	552	1078	596	标修精临
4595	552	4845	590	心鹏疾前及各科疾府。
169	562	375	603	水区修
1219	563	1279	596	新送
2825	569	3076	612	牛皮癣、月经不阀、
376	574	408	596	店
2749	574	2820	607	座猪、
3076	569	3288	612	不孕不育等疾病
3696	580	3756	607	GLR
4725	585	5030	628	中国
4595	590	4714	628	行国地址：
121	591	244	636	长中批换
5019	585	5150	628	上比亚大街
261	601	370	634	火华原馆
2738	612	2858	650	龄所地址：
3696	607	3854	650	電话/傅真：
2869	618	3043	645	24LisleStee
3038	618	3136	645	London
3130	618	3266	645	WC2H7BA
3860	618	4023	650	02072873336
4034	618	4192	650	0207287617
120	628	229	666	精丽学条
