startX	startY	endX	endY	Text
288	148	388	182	Neue
388	148	571	180	Coronavius
1117	148	1222	171	Gemeinde
1222	146	1309	169	Pfäffikon
1117	174	1376	200	igaodenedg
290	198	372	245	so
367	189	644	243	Schützen
1119	200	1148	222	9
1150	200	1231	222	Oklober
1231	200	1281	222	2020
292	245	398	293	Wir
400	247	527	291	UNS.
604	348	836	468	Hier
849	355	1052	471	gilt
409	489	1240	607	Maskenpflicht,
769	623	832	664	ü
838	621	1098	664	Erwachsene
1098	629	1111	655	W
314	1460	775	1491	unbgeuunsd
777	1537	863	1556	Gesundhelt
751	1539	778	1556	8
667	1541	753	1558	Bundesamt
491	1546	631	1560	Hdgenowenschal
863	1537	899	1554	B.
375	1548	490	1564	Schwelzersche
854	1558	923	1576	publique
716	1559	771	1578	iederel
771	1559	793	1576	.
793	1559	810	1576	
810	1559	854	1576	End
669	1561	716	1578	offed
923	1556	963	1572	oB
375	1568	485	1583	Conledaratien
488	1569	534	1582	owC
870	1577	935	1593	pubblia
823	1578	869	1595	snlta
719	1580	782	1598	Tederale
784	1580	821	1596	dela
667	1582	719	1598	uflldo
936	1576	974	1593	Ve
375	1587	496	1606	Koriederazions
497	1587	560	1604	SVizzere
788	1598	852	1617	vonadad
851	1598	908	1614	publica
765	1600	788	1617	.
667	1602	712	1619	
711	1602	768	1618	ledorol
908	1596	947	1613	u,
375	1608	488	1626	Conlederizlun
490	1608	534	1622	.
1294	1624	1331	1643	e
375	1650	420	1667	Se
422	1646	532	1665	Conlederaton
