startX	startY	endX	endY	Text
957	844	1244	911	200 000
764	848	937	907	OVER
1264	844	1500	911	COPIES
1516	848	1689	916	SOLD
1709	850	2099	925	WORLDWIDE
973	974	1020	1025	FA
1032	974	1295	1029	mustread
1299	974	1382	1029	for
1386	983	1630	1046	everyone
1638	983	1744	1037	who
1752	987	1898	1037	cares
965	1037	1118	1096	about
1127	1033	1311	1110	driving
1319	1046	1567	1100	customer
1571	1050	1910	1113	engagement
1059	1117	1169	1168	ERIC
1178	1116	1303	1173	RIESS
1303	1121	1437	1168	author
1488	1121	1559	1168	The
1437	1126	1484	1168	of
1563	1126	1662	1168	Lean
1666	1122	1810	1180	Startup
737	1229	2141	1559	HOOKED
2823	1541	2882	1621	s
2691	1618	2694	1716	S
1839	2020	2174	2079	COMPLETELY
1835	2100	2063	2159	REVISED
2075	2100	2181	2155	AND
1890	2180	2130	2239	UPDATED
1118	2499	1362	2617	How
1512	2495	1788	2617	Build
1370	2507	1492	2617	to
811	2663	1587	2810	Habitforming
1603	2659	2099	2780	Products
1083	2852	1370	3016	NIR
1429	2848	1851	3016	EYAL
1303	3066	1500	3133	RYAN
1177	3070	1272	3137	TH
1536	3062	1839	3133	HOOVER
