startX	startY	endX	endY	Text
670	61	851	109	もちもち
395	80	538	134	天然の
872	90	1019	130	とろっと
1064	95	1301	147	後味のよい
248	119	326	150	濃厚な
621	131	722	157	サクサク
411	153	600	194	なめらかな
690	147	1238	232	と駅で焼きたて
168	173	294	201	深みのある
115	214	723	294	うま味のあるい「
1212	241	1386	308	警沢な
746	251	1139	296	施きのこない線は
560	291	654	328	ピリギ
342	302	518	332	やみつきになる
59	309	211	350	香ばしい
1053	300	1205	341	ふわっと
822	316	958	352	サクッと
227	336	350	363	コクのある
638	335	805	374	脂の乗った
1202	345	1349	386	カリカリ
336	366	598	418	スパイシっ
740	368	1170	416	だわり。揚げたて
152	382	301	424	とろとろ
565	403	715	447	出来たて
1222	414	1304	444	新鮮な
362	438	462	466	リッチな
1020	433	1211	474	炊きたて
107	453	237	484	風味豊かな
710	450	864	494	熟成した
456	463	598	504	こんがり
861	465	1037	507	カリッと
1301	462	1400	513	美味
238	487	382	542	芳酷な
413	511	1000	606	ふんわり:
1064	505	1291	550	口どけのよい
131	555	256	583	まろやかな
394	568	403	577	。
891	570	1187	659	パリッと「旬
1229	575	1384	619	産地直送
248	610	478	660	クセになる
563	626	678	670	秘伝の
750	618	853	648	食べごろ
170	672	313	714	ほくほく
806	667	989	712	スイート
667	679	782	714	盗れたて
397	683	571	721	ジューツー
982	676	1166	715	もっちり
502	737	774	789	後味すっきり
997	728	1109	769	本場の
280	738	381	778	朝採り
829	771	926	798	とろける
