startX	startY	endX	endY	Text
1682	650	2390	1885	热光
3015	1584	3464	1684	
3026	1689	3454	1791	宏学机
1771	1934	2394	2234	咸院
3016	2343	3480	2482	新光酒楼
3051	2482	3434	2587	火锅3/F
3010	2587	3277	2685	营2561
3283	2581	3480	2680	8218
3028	2732	3068	2767	欢
3231	3057	3347	3155	祥
574	3132	632	3196	
679	3138	719	3196	
352	3161	530	3270	会
302	3254	539	3480	大
1015	3283	1183	3932	新光疗
3057	3318	3283	3381	安事林1楼
3294	3318	3474	3376	116秘铺
3039	3381	3503	3463	23313838
304	3439	449	3544	S
441	3474	516	3521	银有行发道
249	3602	273	3666	主福
876	3613	1015	4031	大利場
2214	3785	2285	3851	80
2477	3811	2622	3898	
1670	3822	1699	3863	商
406	3863	441	3898	
766	3932	864	4025	限
1108	3979	1305	4048	第8-10
1835	3976	2016	4063	
1108	4048	1177	4112	
1177	4054	1288	4118	5-7
1143	4147	1264	4170	Exconttax
3248	4141	3358	4176	24hrm
876	4170	916	4199	
1114	4170	1288	4193	kpdooo
3265	4170	3347	4222	全日
1102	4205	1183	4234	的士上
1177	4199	1305	4234	落客除外
887	4211	969	4240	
2905	4242	3269	4319	小来时建
853	4269	963	4315	ShSt
3144	4292	3260	4338	RATRE
853	4327	969	4379	万青局街动
3144	4425	3242	4495	顺
