startX	startY	endX	endY	Text
670	61	851	109	
395	80	538	134	天然の
872	90	1019	130	
1064	95	1301	147	後味
248	119	326	150	漂厚水
621	131	722	157	
411	153	600	194	
690	147	1238	232	姚当无了
168	173	294	201	深
115	214	723	294	味
1212	241	1386	308	梵众
746	251	1139	296	绝品
560	291	654	328	辛
342	302	518	332	
59	309	211	350	香
1053	300	1205	341	
822	316	958	352	
227	336	350	363	
638	335	805	374	脂の乘
1202	345	1349	386	
336	366	598	418	
740	368	1170	416	锡
152	382	301	424	233
565	403	715	447	出来
1222	414	1304	444	新鲜存
362	438	462	466	
1020	433	1211	474	欢
107	453	237	484	凤味豐
710	450	864	494	熟成
456	463	598	504	
861	465	1037	507	
1301	462	1400	513	美味
238	487	382	542	芳醇友
413	511	1000	606	
1064	505	1291	550	口k
131	555	256	583	
394	568	403	577	
891	570	1187	659	旬
1229	575	1384	619	產地直送
248	610	478	660	
563	626	678	670	秘云の
750	618	853	648	食
170	672	313	714	伊人海人
806	667	989	712	一
667	679	782	714	沧
397	683	571	721	-
982	676	1166	715	
502	737	774	789	後味
997	728	1109	769	本場の
280	738	381	778	朝探
829	771	926	798	
