startX	startY	endX	endY	Text
1173	849	1549	1021	Butts
1575	871	1781	1033	are
268	904	642	1162	馆
1157	1074	1803	1276	Recyclable
209	1207	574	1410	
187	1261	218	1278	中
1318	1689	1789	2344	
1692	2041	1723	2062	1
1700	2112	1715	2137	中
1455	2249	1571	2336	
1591	2278	1610	2319	
1571	2431	1599	2481	
1205	2826	1465	2989	Cigarette
1649	2838	1731	2925	are
1469	2885	1662	2948	butts
1227	2923	1310	3038	the
1322	2975	1490	3054	most
1485	2979	1733	3015	littered
1220	3006	1326	3138	item
1346	3062	1416	3141	in
1423	3066	1540	3145	the
1535	3079	1732	3081	World
1266	3204	1445	3328	Thank
1583	3211	1672	3294	for
1458	3244	1579	3327	you
1216	3260	1417	3427	heeping
1634	3261	1719	3361	o
1430	3329	1636	3389	toxins
1229	3377	1283	3444	OF
1290	3390	1385	3493	Our
1394	3428	1721	3444	Waterway
1289	3481	1403	3572	and
1405	3512	1653	3555	oceans.
1227	3847	1430	3982	WERShIA
1483	3902	1760	3846	Victor
