startX	startY	endX	endY	Text
1325	34	1457	63	CBEPDAHK
1282	92	1398	111	JA5OPATOPM
1398	92	1530	111	POEOTOTEXMK
1530	92	1625	111	CBEPBAHKA
1625	92	1688	111	AnPEnb
1690	94	1728	111	2018
75	217	92	311	WMMHXIO
48	318	67	537	
72	311	92	433	Hd
72	431	92	537	JOOaM
145	535	325	600	CHEM
338	532	630	600	MEHbUE
148	621	442	691	PO50TOB
591	613	872	705	JO5MM，
455	624	580	691	MbI
15	643	55	674	02
148	713	282	780	TEM
300	713	578	783	BONbUE
590	713	870	783	nOnb3bl
148	804	298	872	HAM
310	804	395	872	OT
408	804	575	872	HMXss
150	913	225	937	KTO-TO
258	913	395	937	coobulecTBa
225	918	255	937	M3
397	913	580	937	POTKO
2010	997	2042	1021	no
2052	1002	2135	1023	Beuepam
2145	1004	2242	1021	Mexoku
2008	1036	2115	1055	ipoeso
2130	1038	2145	1052	红
2155	1036	2288	1057	peopo
2010	1063	2102	1089	AOaMa
2112	1064	2200	1086	tKaunas
2212	1072	2228	1084	出
2238	1064	2325	1086	cAoeno
1400	1167	1555	1198	ca
1655	1168	1680	1192	H
1685	1168	1835	1194	KopHcKoro
1858	1168	1882	1192	B.
1555	1173	1585	1192	M3
1588	1173	1655	1192	KHWFW
1835	1173	1855	1192	W
1885	1168	1995	1192	Tlekenvca
2000	1177	2065	1196	aEbIcTpee
2120	1178	2148	1192	M..
2068	1180	2120	1192	MbIC
2148	1175	2188	1192	1959）
