startX	startY	endX	endY	Text
444	118	463	132	하
532	147	541	157	대이
363	475	401	491	3대
533	470	554	485	여
401	520	505	553	오보야
641	563	694	599	혼자
553	565	632	600	생겨서
456	566	539	603	사람이
326	570	442	610	좋아하는
705	562	763	595	공공
155	576	222	614	내가
235	573	309	610	간짜
477	629	558	670	갈아서
565	631	657	664	여키를
199	633	290	677	왔다가
297	633	466	672	죽어버릴것만
665	624	722	664	한하
654	636	661	645	'0
596	682	648	722	얼굴
399	685	586	722	거리는잘 생긴
282	689	390	727	아른아른
179	690	207	725	눈
214	691	275	725	앞에
658	684	714	719	자꾸
208	704	216	713	'
647	700	654	709	'
296	736	376	773	맹도는
448	736	530	775	촉촉한
388	740	439	772	크의
540	737	614	773	옥소리
223	742	286	771	귀에
623	741	660	769	예
